epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3719,1.88879,3.59573,1.40427,0.69071,0.45238,0.53538,0.30233,1.11147,5.00193,0.93649,0.000549755,0.000549755,0.000549755
2,57.3794,1.66787,2.35587,1.32981,0.64888,0.66667,0.66894,0.34265,1.27714,4.08162,1.10757,0.00108353,0.00108353,0.00108353
3,85.5704,1.72567,2.04165,1.32974,0.67669,0.46305,0.63411,0.33903,1.33923,5.70988,1.11455,0.00159531,0.00159531,0.00159531
4,113.484,1.6693,1.79681,1.33866,0.71541,0.59524,0.64627,0.39278,1.24263,3.77807,1.03424,0.00156798,0.00156798,0.00156798
5,141.847,1.6707,1.67461,1.30758,0.64473,0.71429,0.73598,0.3982,1.24506,3.13286,1.12249,0.00153497,0.00153497,0.00153497
6,170.193,1.57569,1.75236,1.29432,0.83337,0.66667,0.8186,0.47997,1.38237,2.39117,1.1833,0.00150197,0.00150197,0.00150197
7,198.767,1.3647,1.42272,1.19896,0.73943,0.81498,0.83202,0.52566,1.20876,1.92763,1.03562,0.00146896,0.00146896,0.00146896
8,227.01,1.42415,1.4,1.21202,0.84177,0.88772,0.95905,0.60001,1.13544,7.06717,1.02965,0.00143595,0.00143595,0.00143595
9,255.673,1.45127,1.40734,1.23932,0.87719,0.87793,0.93459,0.62431,0.90029,1.62091,0.92047,0.00140295,0.00140295,0.00140295
10,284.588,1.36276,1.41427,1.14856,0.90582,0.8587,0.92492,0.59179,1.0647,2.20614,0.96304,0.00136994,0.00136994,0.00136994
11,313.707,1.38746,1.23399,1.21333,0.84261,0.83162,0.89663,0.58325,1.40167,3.80964,1.14205,0.00133693,0.00133693,0.00133693
12,342.233,1.40595,1.33586,1.1809,0.86921,0.88095,0.93736,0.6108,1.03703,4.02644,0.98655,0.00130393,0.00130393,0.00130393
13,371.108,1.27808,1.04461,1.15543,0.80745,0.78571,0.87513,0.53926,1.03426,1.95142,0.99157,0.00127092,0.00127092,0.00127092
